priority_rank,county_fips,county_name,total_population,diabetes_crude_prevalence,diabetes_crude_95ci,diabetes_adjusted_prevalence,open_trial_sites,open_unique_studies,open_sites_per_100k,has_open_trial_site,county_latitude,county_longitude,nearest_trial_distance_miles,nearest_trial_nct_id,nearest_trial_facility,nearest_trial_city,nearest_trial_county,prevalence_percentile,distance_percentile,priority_score,priority_group
123,48213,Henderson,86158,14.5,"(12.6, 16.7)",11.3,0,0,0.0,No,32.212019,-95.8535323,51.7,NCT07064473,Care United Research,Forney,Kaufman,50.6,56.1,53.4,Moderate priority
124,48089,Colorado,21117,14.9,"(12.8, 16.9)",11.6,0,0,0.0,No,29.6207026,-96.5262493,43.6,NCT05390892,Premier Internal Medicine Associates of Houston,Katy,Fort Bend,60.1,45.8,53.0,Moderate priority
125,48451,Tom Green,119057,12.9,"(11.2, 14.8)",11.9,0,0,0.0,No,31.4042638,-100.4618433,83.9,NCT06112418,Hendrick Health,Abilene,Taylor,22.5,83.0,52.8,Moderate priority
126,48485,Wichita,130180,12.1,"(10.4, 14.0)",11.6,0,0,0.0,No,33.9879956,-98.7035022,105.0,NCT07228117,Revival Research Institute,Denton,Denton,14.2,91.3,52.8,Moderate priority
127,48013,Atascosa,51784,15.4,"(13.4, 17.5)",14.0,0,0,0.0,No,28.8934294,-98.5269873,36.7,NCT02969798,The University of Texas Health Science Center at San Antonio,San Antonio,Bexar,68.0,37.2,52.6,Moderate priority
128,48341,Moore,21190,14.9,"(13.8, 16.2)",14.7,0,0,0.0,No,35.8375941,-101.8929226,42.7,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,60.1,45.1,52.6,Moderate priority
129,48169,Garza,4517,14.9,"(13.6, 16.1)",14.5,0,0,0.0,No,33.1797921,-101.298429,42.3,NCT06580964,Texas Tech University,Lubbock,Lubbock,60.1,44.3,52.2,Moderate priority
130,48335,Mitchell,9075,13.3,"(11.5, 15.1)",13.5,0,0,0.0,No,32.3061262,-100.9212322,70.0,NCT06112418,Hendrick Health,Abilene,Taylor,29.2,75.1,52.2,Moderate priority
131,48075,Childress,6788,12.0,"(10.4, 13.7)",12.0,0,0,0.0,No,34.5290765,-100.2075736,103.7,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,13.4,90.9,52.2,Moderate priority
132,48399,Runnels,9868,14.7,"(12.7, 16.8)",11.8,0,0,0.0,No,31.8309608,-99.9762318,45.0,NCT06112418,Hendrick Health,Abilene,Taylor,56.1,47.8,52.0,Moderate priority
133,48407,San Jacinto,28936,16.4,"(14.3, 18.6)",12.7,0,0,0.0,No,30.5794184,-95.1667871,25.3,NCT06028503,Sam Houston State University College of Osteopathic Medicine,Conroe,Montgomery,81.8,21.7,51.8,Moderate priority
134,48179,Gray,20916,13.9,"(11.8, 15.9)",12.4,0,0,0.0,No,35.4010745,-100.812558,58.8,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,39.9,63.2,51.6,Moderate priority
135,48501,Yoakum,7468,13.5,"(11.7, 15.6)",13.0,0,0,0.0,No,33.1728767,-102.8277995,62.7,NCT06580964,Texas Tech University,Lubbock,Lubbock,33.2,69.6,51.4,Moderate priority
136,48049,Brown,38709,14.0,"(12.3, 15.7)",11.4,0,0,0.0,No,31.7740563,-98.9997903,56.0,NCT06112418,Privia Medical Group- North Texas,Stephenville,Erath,42.3,60.1,51.2,Moderate priority
137,48421,Sherman,2678,12.9,"(11.7, 14.0)",11.2,0,0,0.0,No,36.2775624,-101.8934663,73.0,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,22.5,78.7,50.6,Moderate priority
138,48319,Mason,3931,14.4,"(12.8, 16.0)",9.9,0,0,0.0,No,30.717641,-99.2261174,46.6,NCT07564414,Sante Clinical Research,Kerrville,Kerr,49.0,50.6,49.8,Lower priority
139,48317,Martin,5216,12.1,"(11.1, 13.1)",11.5,0,0,0.0,No,32.305948,-101.9512207,88.1,NCT06580964,Texas Tech University,Lubbock,Lubbock,14.2,85.4,49.8,Lower priority
140,48329,Midland,177108,10.8,"( 9.3, 12.3)",11.4,0,0,0.0,No,31.8690789,-102.0316093,118.5,NCT06580964,Texas Tech University,Lubbock,Lubbock,5.5,94.1,49.8,Lower priority
141,48255,Karnes,15018,14.0,"(12.1, 15.9)",14.4,0,0,0.0,No,28.9056521,-97.8594649,52.4,NCT02969798,The University of Texas Health Science Center at San Antonio,San Antonio,Bexar,42.3,56.9,49.6,Lower priority
142,48211,Hemphill,3189,11.6,"(10.0, 13.5)",9.7,0,0,0.0,No,35.8374761,-100.270473,97.5,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,9.9,89.3,49.6,Lower priority
143,48145,Falls,17286,16.1,"(14.1, 18.4)",13.8,0,0,0.0,No,31.2532255,-96.9359425,23.9,NCT07064473,"Velocity Clinical Research, Waco",Waco,McLennan,78.7,20.2,49.4,Lower priority
144,48173,Glasscock,1141,10.9,"( 9.6, 12.1)",9.9,0,0,0.0,No,31.8693808,-101.520803,112.0,NCT06112418,Hendrick Health,Abilene,Taylor,5.9,92.5,49.2,Lower priority
145,48237,Jack,8875,13.4,"(11.5, 15.4)",11.8,0,0,0.0,No,33.2333492,-98.1724507,60.1,NCT07228117,Revival Research Institute,Denton,Denton,32.0,66.0,49.0,Lower priority
146,48149,Fayette,25474,13.8,"(11.8, 16.0)",10.1,0,0,0.0,No,29.8767312,-96.9199732,56.1,NCT05267626,Texas Oncology (Balcones) - SCRI,Austin,Travis,37.2,60.5,48.8,Lower priority
147,48151,Fisher,3612,14.5,"(12.6, 16.5)",10.8,0,0,0.0,No,32.7427333,-100.4021685,43.9,NCT06112418,Hendrick Health,Abilene,Taylor,50.6,46.6,48.6,Lower priority
148,48033,Borden,572,13.2,"(11.9, 14.8)",9.3,0,0,0.0,No,32.7436084,-101.4317487,62.6,NCT06580964,Texas Tech University,Lubbock,Lubbock,28.1,69.2,48.6,Lower priority
149,48481,Wharton,41739,15.0,"(13.2, 17.3)",12.9,0,0,0.0,No,29.2777605,-96.2222023,34.8,NCT07215559,Aavon Clinical Trials,Richmond,Fort Bend,61.7,35.2,48.4,Lower priority
150,48347,Nacogdoches,65375,13.2,"(11.3, 15.1)",13.0,0,0,0.0,No,31.6158766,-94.6156265,61.6,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg,28.1,68.0,48.0,Lower priority
151,48499,Wood,47921,14.6,"(12.5, 16.9)",10.6,0,0,0.0,No,32.786361,-95.3819963,42.2,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg,52.2,43.5,47.8,Lower priority
152,48263,Kent,734,12.9,"(11.0, 15.0)",9.3,0,0,0.0,No,33.1813317,-100.7775686,67.9,NCT06580964,Texas Tech University,Lubbock,Lubbock,22.5,72.7,47.6,Lower priority
153,48215,Hidalgo,898471,17.4,"(15.3, 19.6)",17.7,13,10,1.447,Yes,26.3965242,-98.1810538,6.6,NCT07064473,South Texas Research Institute-Edinburg-67012,Edinburg,Hidalgo,88.5,6.3,47.4,Lower priority
154,48479,Webb,269148,16.1,"(13.9, 18.5)",16.8,2,2,0.743,Yes,27.7608783,-99.3308239,20.6,NCT06112418,Aeres Clinical Research,Laredo,Webb,78.7,16.2,47.4,Lower priority
155,48429,Stephens,9343,13.8,"(11.9, 15.8)",11.8,0,0,0.0,No,32.7357774,-98.8361728,51.3,NCT06112418,Privia Medical Group- North Texas,Stephenville,Erath,37.2,55.7,46.4,Lower priority
156,48025,Bee,30850,13.9,"(12.1, 15.8)",14.6,0,0,0.0,No,28.4172914,-97.7409485,47.5,NCT06810726,WoundCentrics Wound Care & Hyperbarics -Corpus Christi - Shoreline,Corpus Christi,Nueces,39.9,52.2,46.0,Lower priority
157,48019,Bandera,22637,15.7,"(13.6, 18.0)",10.8,0,0,0.0,No,29.7473184,-99.2461378,21.7,NCT07564414,Sante Clinical Research,Kerrville,Kerr,73.9,17.8,45.8,Lower priority
158,48165,Gaines,22523,11.8,"(10.2, 13.5)",12.3,0,0,0.0,No,32.7408004,-102.6351715,73.4,NCT06580964,Texas Tech University,Lubbock,Lubbock,11.1,79.4,45.3,Lower priority
159,48331,Milam,25951,14.9,"(12.9, 17.1)",11.9,0,0,0.0,No,30.7862144,-96.9769376,30.6,NCT06906627,Baylor Scott & White,Temple,Bell,60.1,30.0,45.1,Lower priority
160,48431,Sterling,1397,10.5,"( 9.0, 12.2)",9.4,0,0,0.0,No,31.8277007,-101.0500337,88.2,NCT06112418,Hendrick Health,Abilene,Taylor,3.6,85.8,44.7,Lower priority
161,48193,Hamilton,8619,14.6,"(12.4, 16.8)",11.0,0,0,0.0,No,31.7047218,-98.110871,36.1,NCT06112418,Privia Medical Group- North Texas,Stephenville,Erath,52.2,36.8,44.5,Lower priority
162,48363,Palo Pinto,29747,14.4,"(12.3, 16.4)",11.6,0,0,0.0,No,32.7530556,-98.3130539,37.3,NCT06112418,Privia Medical Group- North Texas,Stephenville,Erath,49.0,37.9,43.5,Lower priority
163,48325,Medina,54797,14.4,"(12.4, 16.4)",12.4,0,0,0.0,No,29.355588,-99.1101257,37.1,NCT06897475,"Consano Clinical Research, LLC",Shavano Park,Bexar,49.0,37.5,43.3,Lower priority
164,48393,Roberts,840,11.6,"( 9.8, 13.5)",8.9,0,0,0.0,No,35.8383986,-100.8134442,71.3,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,9.9,76.7,43.3,Lower priority
165,48305,Lynn,5761,15.2,"(13.1, 17.5)",13.4,0,0,0.0,No,33.176742,-101.8161278,27.8,NCT06580964,Texas Tech University,Lubbock,Lubbock,62.5,23.7,43.1,Lower priority
166,48035,Bosque,18996,14.3,"(12.2, 16.6)",10.5,0,0,0.0,No,31.9003042,-97.6342103,37.5,NCT07064473,"Velocity Clinical Research, Waco",Waco,McLennan,47.0,38.7,42.9,Lower priority
167,48411,San Saba,5845,14.2,"(12.9, 15.6)",12.0,0,0,0.0,No,31.1550874,-98.817397,38.1,NCT07296484,Radiance Clinical Research,Lampasas,Lampasas,45.8,39.5,42.7,Lower priority
168,48245,Jefferson,251496,15.6,"(13.7, 17.8)",14.2,1,1,0.398,Yes,29.8535898,-94.1533526,16.4,NCT06112418,Gadolin Research,Beaumont,Jefferson,72.3,12.6,42.5,Lower priority
169,48185,Grimes,32384,14.4,"(12.6, 16.5)",12.3,0,0,0.0,No,30.5432074,-95.9854475,35.4,NCT06028503,Sam Houston State University College of Osteopathic Medicine,Conroe,Montgomery,49.0,36.0,42.5,Lower priority
170,48333,Mills,4548,14.1,"(11.8, 16.3)",9.9,0,0,0.0,No,31.4951633,-98.5954032,38.5,NCT07296484,Radiance Clinical Research,Lampasas,Lampasas,44.7,39.9,42.3,Lower priority
171,48133,Eastland,18037,14.1,"(12.1, 16.2)",11.4,0,0,0.0,No,32.3270554,-98.8324497,37.5,NCT06112418,Privia Medical Group- North Texas,Stephenville,Erath,44.7,38.7,41.7,Lower priority
172,48337,Montague,21598,13.4,"(11.5, 15.3)",10.5,0,0,0.0,No,33.6754778,-97.7246947,46.7,NCT07228117,Revival Research Institute,Denton,Denton,32.0,51.0,41.5,Lower priority
173,48355,Nueces,352289,15.8,"(14.0, 17.7)",14.5,4,3,1.135,Yes,27.7351971,-97.5162239,8.6,NCT06810726,WoundCentrics Wound Care & Hyperbarics -Corpus Christi - Shoreline,Corpus Christi,Nueces,75.1,7.5,41.3,Lower priority
174,48313,Madison,13742,13.1,"(11.3, 14.9)",12.9,0,0,0.0,No,30.965583,-95.9284766,53.2,NCT06028503,Sam Houston State University College of Osteopathic Medicine,Conroe,Montgomery,24.9,57.7,41.3,Lower priority
175,48093,Comanche,14050,14.8,"(12.9, 17.0)",11.4,0,0,0.0,No,31.9479024,-98.5580986,28.1,NCT06112418,Privia Medical Group- North Texas,Stephenville,Erath,57.3,24.9,41.1,Lower priority
176,48015,Austin,31677,14.7,"(12.8, 16.9)",11.8,0,0,0.0,No,29.8869449,-96.2776993,28.1,NCT05390892,Premier Internal Medicine Associates of Houston,Katy,Fort Bend,56.1,24.9,40.5,Lower priority
177,48205,Hartley,5145,12.0,"(10.2, 13.9)",10.8,0,0,0.0,No,35.8401038,-102.6028681,60.9,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,13.4,67.6,40.5,Lower priority
178,48409,San Patricio,70660,15.4,"(13.4, 17.5)",13.9,0,0,0.0,No,28.0088796,-97.5181894,16.2,NCT06810726,WoundCentrics Wound Care & Hyperbarics -Corpus Christi - Shoreline,Corpus Christi,Nueces,68.0,12.3,40.1,Lower priority
179,48141,El Paso,869880,15.4,"(13.6, 17.3)",15.3,4,4,0.46,Yes,31.7684878,-106.2345559,14.8,NCT05846802,Texas Tech University Health Science Center (TTUHSC),El Paso,El Paso,68.0,11.5,39.7,Lower priority
180,48359,Oldham,1783,13.3,"(11.3, 15.3)",11.3,0,0,0.0,No,35.4051056,-102.6028784,45.3,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,29.2,48.2,38.7,Lower priority
181,48233,Hutchinson,20033,12.9,"(11.2, 14.8)",11.0,0,0,0.0,No,35.839936,-101.3546999,50.4,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,22.5,54.9,38.7,Lower priority
182,48477,Washington,37007,13.2,"(11.4, 15.3)",10.7,0,0,0.0,No,30.2145751,-96.4035004,45.5,NCT05099770,"Pioneer Research Solutions, Inc.",Cypress,Harris,28.1,48.6,38.3,Lower priority
183,48217,Hill,38101,14.2,"(12.2, 16.3)",11.5,0,0,0.0,No,31.9906425,-97.1322167,30.5,NCT07064473,"Velocity Clinical Research, Waco",Waco,McLennan,45.8,29.6,37.7,Lower priority
184,48375,Potter,114647,15.3,"(13.3, 17.4)",14.4,3,3,2.617,Yes,35.4011849,-101.8940068,12.9,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,64.8,10.3,37.5,Lower priority
185,48467,Van Zandt,64000,13.4,"(11.5, 15.5)",10.7,0,0,0.0,No,32.5636239,-95.8363998,39.1,NCT07064473,Care United Research,Forney,Kaufman,32.0,41.5,36.8,Lower priority
186,48273,Kleberg,30069,14.0,"(12.2, 15.9)",15.4,0,0,0.0,No,27.4268535,-97.6683939,30.7,NCT06810726,WoundCentrics Wound Care & Hyperbarics -Corpus Christi - Shoreline,Corpus Christi,Nueces,42.3,30.4,36.4,Lower priority
187,48365,Panola,22838,13.8,"(11.9, 15.9)",11.3,0,0,0.0,No,32.1623206,-94.3056865,34.5,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg,37.2,34.8,36.0,Lower priority
188,48219,Hockley,21460,14.1,"(12.2, 16.2)",12.9,0,0,0.0,No,33.6075562,-102.3431848,28.2,NCT06580964,Texas Tech University,Lubbock,Lubbock,44.7,25.3,35.0,Lower priority
189,48055,Caldwell,49859,14.6,"(12.7, 16.7)",13.5,0,0,0.0,No,29.8368146,-97.6198717,19.5,NCT06112418,"Privia Medical Group Gulf Coast, PLLC ( Javara Inc.)",San Marcos,Hays,52.2,15.0,33.6,Lower priority
190,48379,Rains,12986,14.1,"(11.9, 16.5)",10.3,0,0,0.0,No,32.8703254,-95.7933377,26.1,NCT06112418,"CardioVoyage, LLC",Greenville,Hunt,44.7,22.5,33.6,Lower priority
191,48265,Kerr,53915,14.7,"(12.5, 17.0)",10.8,1,1,1.855,Yes,30.0615711,-99.349903,12.6,NCT07564414,Sante Clinical Research,Kerrville,Kerr,56.1,9.5,32.8,Lower priority
192,48159,Franklin,10735,13.0,"(11.1, 15.0)",9.9,0,0,0.0,No,33.1754058,-95.2184312,38.8,NCT07662109,Research Site,Paris,Lamar,23.7,41.1,32.4,Lower priority
193,48031,Blanco,13048,13.1,"(11.1, 15.2)",9.2,0,0,0.0,No,30.2662328,-98.3998811,38.1,NCT06112418,"Privia Medical Group Gulf Coast, PLLC ( Javara Inc.)",San Marcos,Hays,24.9,39.5,32.2,Lower priority
194,48401,Rusk,53079,13.9,"(12.0, 15.9)",12.2,0,0,0.0,No,32.1074748,-94.7618423,27.2,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg,39.9,23.3,31.6,Lower priority
195,48223,Hopkins,38172,13.4,"(11.5, 15.4)",11.2,0,0,0.0,No,33.1495231,-95.5640052,31.6,NCT06112418,"CardioVoyage, LLC",Greenville,Hunt,32.0,31.2,31.6,Lower priority
196,48041,Brazos,244703,9.7,"( 8.4, 11.3)",12.5,0,0,0.0,No,30.6606263,-96.3023227,55.9,NCT06028503,Sam Houston State University College of Osteopathic Medicine,Conroe,Montgomery,1.6,59.3,30.4,Lower priority
197,48423,Smith,245209,13.2,"(11.4, 15.2)",11.7,0,0,0.0,No,32.3749424,-95.2690261,32.0,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg,28.1,32.4,30.2,Lower priority
198,48291,Liberty,108272,13.9,"(12.2, 15.9)",13.8,0,0,0.0,No,30.151464,-94.8120084,23.1,NCT07392190,Activian Clinical Research,Kingwood,Harris,39.9,19.0,29.4,Lower priority
199,48471,Walker,81268,13.3,"(11.5, 15.2)",13.8,0,0,0.0,No,30.738965,-95.5722749,30.3,NCT06028503,Sam Houston State University College of Osteopathic Medicine,Conroe,Montgomery,29.2,29.2,29.2,Lower priority
200,48021,Bastrop,110778,13.4,"(11.6, 15.4)",12.0,0,0,0.0,No,30.1034996,-97.3120444,28.1,NCT05267626,Texas Oncology (Balcones) - SCRI,Austin,Travis,32.0,24.9,28.5,Lower priority
201,48459,Upshur,43281,13.9,"(12.0, 16.1)",11.4,0,0,0.0,No,32.7362324,-94.9415316,20.0,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg,39.9,15.4,27.7,Lower priority
202,48203,Harrison,70895,13.8,"(12.0, 15.9)",11.9,0,0,0.0,No,32.5481538,-94.371438,21.7,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg,37.2,17.8,27.5,Lower priority
203,48147,Fannin,37571,13.2,"(11.3, 15.3)",11.4,0,0,0.0,No,33.5937044,-96.106956,29.0,NCT07064473,Sherman Clinical Research,Sherman,Grayson,28.1,26.1,27.1,Lower priority
204,48171,Gillespie,27733,13.6,"(11.5, 15.8)",9.5,0,0,0.0,No,30.3181089,-98.946481,22.0,NCT07564414,Sante Clinical Research,Kerrville,Kerr,34.4,18.6,26.5,Lower priority
205,48493,Wilson,54183,13.1,"(11.4, 15.1)",11.0,0,0,0.0,No,29.1739593,-98.0866879,30.0,NCT02969798,The University of Texas Health Science Center at San Antonio,San Antonio,Bexar,24.9,28.1,26.5,Lower priority
206,48011,Armstrong,1832,12.6,"(10.8, 14.7)",9.4,0,0,0.0,No,34.9648378,-101.3574087,32.1,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,19.0,33.2,26.1,Lower priority
207,48097,Cooke,43782,13.0,"(11.2, 15.2)",10.8,0,0,0.0,No,33.639116,-97.2126272,29.7,NCT07228117,Revival Research Institute,Denton,Denton,23.7,27.7,25.7,Lower priority
208,48119,Delta,5520,13.7,"(12.5, 14.9)",10.9,0,0,0.0,No,33.3863284,-95.6723145,20.1,NCT07662109,Research Site,Paris,Lamar,35.2,15.8,25.5,Lower priority
209,48281,Lampasas,23262,14.0,"(12.1, 16.2)",11.0,3,3,12.897,Yes,31.1962127,-98.2414097,9.8,NCT07296484,Radiance Clinical Research,Lampasas,Lampasas,42.3,8.3,25.3,Lower priority
210,48053,Burnet,53991,13.5,"(11.5, 15.7)",10.3,0,0,0.0,No,30.7881967,-98.1824324,19.0,NCT07296484,Radiance Clinical Research,Lampasas,Lampasas,33.2,14.6,23.9,Lower priority
211,48277,Lamar,51127,14.3,"(12.3, 16.6)",11.9,1,1,1.956,Yes,33.6671749,-95.5711481,1.0,NCT07662109,Research Site,Paris,Lamar,47.0,0.4,23.7,Lower priority
212,48059,Callahan,14374,13.2,"(11.2, 15.3)",10.2,0,0,0.0,No,32.2975735,-99.37349,23.4,NCT06112418,Hendrick Health,Abilene,Taylor,28.1,19.4,23.7,Lower priority
213,48039,Brazoria,398938,12.0,"(10.5, 13.5)",11.3,0,0,0.0,No,29.167661,-95.4343566,31.8,NCT07392190,Synergy Groups Medical LLC - Missouri City,Missouri City,Fort Bend,13.4,31.6,22.5,Lower priority
214,48417,Shackelford,3229,12.3,"(10.4, 14.2)",9.5,0,0,0.0,No,32.7358835,-99.354067,29.7,NCT06112418,Hendrick Health,Abilene,Taylor,15.8,27.7,21.7,Lower priority
215,48029,Bexar,2087679,13.9,"(12.2, 15.6)",13.8,63,41,3.018,Yes,29.4488309,-98.5199598,2.3,NCT02969798,The University of Texas Health Science Center at San Antonio,San Antonio,Bexar,39.9,2.4,21.1,Lower priority
216,48253,Jones,20381,13.0,"(11.2, 14.9)",12.9,0,0,0.0,No,32.7398239,-99.8787416,21.8,NCT06112418,Hendrick Health,Abilene,Taylor,23.7,18.2,20.9,Lower priority
217,48221,Hood,67774,12.5,"(10.5, 14.4)",9.2,0,0,0.0,No,32.429918,-97.8322557,26.0,NCT06112418,Privia Medical Group- North Texas,Stephenville,Erath,18.2,22.1,20.2,Lower priority
218,48497,Wise,78097,11.9,"(10.3, 13.7)",10.3,0,0,0.0,No,33.2158153,-97.6544649,30.1,NCT07228117,Revival Research Institute,Denton,Denton,11.9,28.5,20.2,Lower priority
219,48183,Gregg,126243,13.5,"(11.7, 15.5)",12.3,1,1,0.792,Yes,32.4804446,-94.8169596,4.7,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg,33.2,5.5,19.4,Lower priority
220,48065,Carson,5878,11.7,"(10.1, 13.5)",9.3,0,0,0.0,No,35.40341,-101.3541832,29.7,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,10.7,27.7,19.2,Lower priority
221,48187,Guadalupe,188454,12.8,"(11.2, 14.6)",11.6,0,0,0.0,No,29.5830134,-97.9486345,20.8,NCT06112418,"Privia Medical Group Gulf Coast, PLLC ( Javara Inc.)",San Marcos,Hays,20.9,17.0,19.0,Lower priority
222,48199,Hardin,58261,12.4,"(10.6, 14.2)",10.4,0,0,0.0,No,30.3323489,-94.3902462,24.2,NCT06112418,Gadolin Research,Beaumont,Jefferson,16.6,20.9,18.8,Lower priority
223,48425,Somervell,9888,12.3,"(10.5, 14.3)",9.8,0,0,0.0,No,32.2222128,-97.7745934,25.0,NCT06112418,Privia Medical Group- North Texas,Stephenville,Erath,15.8,21.3,18.6,Lower priority
224,48099,Coryell,84878,10.3,"( 9.0, 11.8)",11.5,0,0,0.0,No,31.3908208,-97.7992456,32.0,NCT07296484,Radiance Clinical Research,Lampasas,Lampasas,3.2,32.4,17.8,Lower priority
225,48201,Harris,4835125,13.2,"(11.6, 15.0)",13.2,66,39,1.365,Yes,29.8573332,-95.3920016,6.7,NCT04101669,Baylor College of Medicine,Houston,Harris,28.1,7.1,17.6,Lower priority
226,48251,Johnson,202906,11.9,"(10.2, 13.7)",11.0,0,0,0.0,No,32.3789766,-97.3665962,24.1,NCT06481904,Cook Children's- Site Number : 8400038,Fort Worth,Tarrant,11.9,20.6,16.2,Lower priority
227,48259,Kendall,50537,11.1,"( 9.6, 13.1)",8.8,0,0,0.0,No,29.9446335,-98.7115626,26.6,NCT06897475,"Consano Clinical Research, LLC",Shavano Park,Bexar,6.7,22.9,14.8,Lower priority
228,48367,Parker,173494,10.7,"( 9.1, 12.5)",9.2,0,0,0.0,No,32.7775551,-97.8050978,28.4,NCT06481904,Cook Children's- Site Number : 8400038,Fort Worth,Tarrant,4.0,25.7,14.8,Lower priority
229,48027,Bell,393193,12.6,"(11.1, 14.3)",13.0,2,2,0.509,Yes,31.0373444,-97.4787564,9.1,NCT06906627,Baylor Scott & White,Temple,Bell,19.0,7.9,13.4,Lower priority
230,48361,Orange,85722,12.4,"(10.7, 14.2)",10.9,0,0,0.0,No,30.1212983,-93.8938494,12.7,NCT06112418,Gadolin Research,Beaumont,Jefferson,16.6,9.9,13.2,Lower priority
231,48071,Chambers,53876,10.8,"( 9.3, 12.5)",10.7,0,0,0.0,No,29.7082824,-94.6714265,23.5,NCT07296484,Elevate Clinical Research,Seabrook,Harris,5.5,19.8,12.6,Lower priority
232,48091,Comal,193928,11.2,"( 9.7, 13.0)",9.2,0,0,0.0,No,29.8081665,-98.2782278,20.8,NCT06112418,"Privia Medical Group Gulf Coast, PLLC ( Javara Inc.)",San Marcos,Hays,7.9,17.0,12.5,Lower priority
233,48181,Grayson,146907,12.5,"(10.8, 14.4)",10.6,1,1,0.681,Yes,33.6267118,-96.6776355,4.0,NCT07064473,Sherman Clinical Research,Sherman,Grayson,18.2,5.1,11.7,Lower priority
234,48167,Galveston,361744,12.3,"(10.7, 14.0)",10.8,3,3,0.829,Yes,29.3800088,-94.8629005,6.7,NCT06080425,"University of Texas Medical Branch, Galveston",Galveston,Galveston,15.8,7.1,11.5,Lower priority
235,48139,Ellis,222829,11.6,"(10.0, 13.4)",10.9,0,0,0.0,No,32.3484009,-96.7946905,17.1,NCT06267391,Epic Medical Research,DeSoto,Dallas,9.9,13.0,11.5,Lower priority
236,48309,McLennan,268583,12.5,"(10.9, 14.2)",12.2,2,2,0.745,Yes,31.5523327,-97.2019149,3.3,NCT07064473,"Velocity Clinical Research, Waco",Waco,McLennan,18.2,4.0,11.1,Lower priority
237,48473,Waller,63553,11.1,"( 9.6, 12.7)",12.2,0,0,0.0,No,30.0106049,-95.9876222,17.6,NCT05099770,"Pioneer Research Solutions, Inc.",Cypress,Harris,6.7,13.8,10.3,Lower priority
238,48113,Dallas,2606358,12.5,"(10.9, 14.0)",12.5,51,33,1.957,Yes,32.7664847,-96.7777649,2.0,NCT04786262,Baylor Scott and White Research Institute,Dallas,Dallas,18.2,2.0,10.1,Lower priority
239,48257,Kaufman,185690,11.2,"( 9.7, 12.9)",11.5,1,1,0.539,Yes,32.5991597,-96.2877515,14.9,NCT07064473,Care United Research,Forney,Kaufman,7.9,11.9,9.9,Lower priority
240,48381,Randall,148255,10.8,"( 9.2, 12.4)",10.0,0,0,0.0,No,34.96577,-101.8969477,18.1,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,5.5,14.2,9.9,Lower priority
241,48441,Taylor,146836,11.2,"( 9.7, 12.9)",11.3,1,1,0.681,Yes,32.301388,-99.8901231,13.7,NCT06112418,Hendrick Health,Abilene,Taylor,7.9,11.1,9.5,Lower priority
242,48157,Fort Bend,916778,12.0,"(10.4, 13.6)",11.1,12,9,1.309,Yes,29.5275141,-95.7708664,3.8,NCT07215559,Aavon Clinical Trials,Richmond,Fort Bend,13.4,4.7,9.1,Lower priority
243,48231,Hunt,113347,12.3,"(10.5, 14.1)",11.2,1,1,0.882,Yes,33.1233955,-96.0855325,1.8,NCT06112418,"CardioVoyage, LLC",Greenville,Hunt,15.8,1.6,8.7,Lower priority
244,48439,Tarrant,2182947,11.7,"(10.2, 13.3)",11.4,7,6,0.321,Yes,32.7718353,-97.2911316,3.6,NCT06481904,Cook Children's- Site Number : 8400038,Fort Worth,Tarrant,10.7,4.3,7.5,Lower priority
245,48209,Hays,280486,10.2,"( 8.8, 11.8)",10.8,2,2,0.713,Yes,30.0578103,-98.031045,13.2,NCT06112418,"Privia Medical Group Gulf Coast, PLLC ( Javara Inc.)",San Marcos,Hays,2.8,10.7,6.7,Lower priority
246,48303,Lubbock,320940,11.4,"( 9.8, 13.0)",12.0,1,1,0.312,Yes,33.6101192,-101.8205448,3.0,NCT06580964,Texas Tech University,Lubbock,Lubbock,8.7,3.6,6.1,Lower priority
247,48339,Montgomery,711354,11.4,"( 9.7, 13.2)",10.4,2,2,0.281,Yes,30.3001869,-95.502821,2.9,NCT06028503,Sam Houston State University College of Osteopathic Medicine,Conroe,Montgomery,8.7,3.2,5.9,Lower priority
