priority_rank,county_fips,county_name,total_population,diabetes_crude_prevalence,diabetes_crude_95ci,diabetes_adjusted_prevalence,open_trial_sites,open_unique_studies,open_sites_per_100k,has_open_trial_site,county_latitude,county_longitude,nearest_trial_distance_miles,nearest_trial_nct_id,nearest_trial_facility,nearest_trial_city,nearest_trial_county,prevalence_percentile,distance_percentile,priority_score,priority_group
29,48197,Hardeman,3490,15.2,"(13.2, 17.2)",11.9,0,0,0.0,No,34.2902354,-99.7455237,127.2,NCT06112418,Hendrick Health,Abilene,Taylor,62.5,95.3,78.9,High priority
30,48087,Collingsworth,2563,15.5,"(14.0, 17.2)",12.7,0,0,0.0,No,34.9647956,-100.270066,90.0,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,70.0,87.0,78.5,High priority
31,48079,Cochran,2509,18.6,"(16.4, 21.1)",17.1,0,0,0.0,No,33.6040305,-102.8284308,56.0,NCT06580964,Texas Tech University,Lubbock,Lubbock,94.5,60.1,77.3,High priority
32,48125,Dickens,1711,16.7,"(14.4, 19.1)",12.2,0,0,0.0,No,33.6165243,-100.7788609,62.0,NCT06580964,Texas Tech University,Lubbock,Lubbock,85.8,68.4,77.1,High priority
33,48045,Briscoe,1445,17.5,"(15.3, 20.2)",13.3,0,0,0.0,No,34.5301735,-101.2085945,59.4,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,89.3,64.4,76.9,High priority
34,48275,Knox,3302,15.6,"(14.2, 17.1)",12.5,0,0,0.0,No,33.6060545,-99.74139,80.0,NCT06112418,Hendrick Health,Abilene,Taylor,72.3,81.4,76.9,High priority
35,48261,Kenedy,343,18.5,"(16.1, 21.0)",14.9,0,0,0.0,No,26.9278373,-97.6364452,54.1,NCT07064473,South Texas Research Institute-Edinburg-67012,Edinburg,Hidalgo,93.7,58.9,76.3,High priority
36,48047,Brooks,6848,19.8,"(18.1, 21.5)",18.2,0,0,0.0,No,27.0314689,-98.21868,50.5,NCT07064473,South Texas Research Institute-Edinburg-67012,Edinburg,Hidalgo,96.8,55.3,76.1,High priority
37,48351,Newton,12039,18.6,"(16.2, 21.0)",14.1,0,0,0.0,No,30.7856606,-93.7449422,52.8,NCT06112418,Gadolin Research,Beaumont,Jefferson,94.5,57.3,75.9,High priority
38,48295,Lipscomb,2906,14.8,"(12.7, 17.1)",12.1,0,0,0.0,No,36.2776155,-100.2731154,113.8,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,57.3,92.9,75.1,High priority
39,48123,DeWitt,19929,16.0,"(13.9, 18.3)",13.1,0,0,0.0,No,29.0820618,-97.3569497,65.6,NCT06112418,"Privia Medical Group Gulf Coast, PLLC ( Javara Inc.)",San Marcos,Hays,77.1,71.9,74.5,Moderate priority
40,48419,Shelby,24179,16.4,"(14.3, 18.6)",13.7,0,0,0.0,No,31.7924137,-94.1448795,60.1,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg,81.8,66.0,73.9,Moderate priority
41,48413,Schleicher,2391,14.8,"(13.4, 16.2)",11.9,0,0,0.0,No,30.8975609,-100.5385533,101.9,NCT07564414,Sante Clinical Research,Kerrville,Kerr,57.3,90.5,73.9,Moderate priority
42,48475,Ward,10966,14.4,"(12.5, 16.4)",13.5,0,0,0.0,No,31.5095632,-103.1023092,160.3,NCT06580964,Texas Tech University,Lubbock,Lubbock,49.0,98.0,73.5,Moderate priority
43,48383,Reagan,3141,14.5,"(13.1, 15.8)",13.7,0,0,0.0,No,31.365993,-101.5230121,128.9,NCT06112418,Hendrick Health,Abilene,Taylor,50.6,95.7,73.1,Moderate priority
44,48023,Baylor,3463,14.9,"(12.6, 17.2)",11.6,0,0,0.0,No,33.616402,-99.2135138,86.1,NCT06112418,Hendrick Health,Abilene,Taylor,60.1,84.2,72.1,Moderate priority
45,48307,McCulloch,7452,15.5,"(13.5, 17.8)",11.9,0,0,0.0,No,31.1987276,-99.3474773,69.6,NCT07296484,Radiance Clinical Research,Lampasas,Lampasas,70.0,73.9,71.9,Moderate priority
46,48081,Coke,3352,15.9,"(13.7, 18.3)",11.8,0,0,0.0,No,31.8885101,-100.5299077,60.6,NCT06112418,Hendrick Health,Abilene,Taylor,76.3,67.2,71.7,Moderate priority
47,48321,Matagorda,36359,16.4,"(14.3, 18.6)",13.9,0,0,0.0,No,28.7854986,-96.0042314,57.0,NCT07215559,Aavon Clinical Trials,Richmond,Fort Bend,81.8,61.3,71.5,Moderate priority
