county_fips,county_name,total_population,diabetes_crude_prevalence,diabetes_crude_95ci,diabetes_adjusted_prevalence,open_trial_sites,open_unique_studies,open_sites_per_100k,has_open_trial_site,county_latitude,county_longitude,nearest_trial_distance_miles,nearest_trial_nct_id,nearest_trial_facility,nearest_trial_city,nearest_trial_county
48387,Red River,11678,16.9,"(14.7, 19.3)",12.5,0,0,0.0,No,33.6205414,-95.0502272,29.2,NCT07662109,Research Site,Paris,Lamar
48269,King,217,16.8,"(14.3, 19.5)",12.2,0,0,0.0,No,33.6163875,-100.2558475,86.2,NCT06112418,Hendrick Health,Abilene,Taylor
48225,Houston,22066,16.8,"(14.6, 19.2)",13.5,0,0,0.0,No,31.3176239,-95.4228905,69.5,NCT06028503,Sam Houston State University College of Osteopathic Medicine,Conroe,Montgomery
48125,Dickens,1711,16.7,"(14.4, 19.1)",12.2,0,0,0.0,No,33.6165243,-100.7788609,62.0,NCT06580964,Texas Tech University,Lubbock,Lubbock
48437,Swisher,6955,16.6,"(14.4, 18.8)",15.5,0,0,0.0,No,34.530295,-101.7350259,48.1,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter
48279,Lamb,12711,16.6,"(14.4, 18.7)",14.3,0,0,0.0,No,34.0684889,-102.3517082,44.3,NCT06580964,Texas Tech University,Lubbock,Lubbock
48403,Sabine,10106,16.6,"(14.0, 19.1)",11.1,0,0,0.0,No,31.3431016,-93.8517727,88.1,NCT06112418,Gadolin Research,Beaumont,Jefferson
48267,Kimble,4442,16.6,"(14.2, 19.0)",11.7,0,0,0.0,No,30.4868159,-99.7485974,47.3,NCT07564414,Sante Clinical Research,Kerrville,Kerr
48461,Upton,3109,16.6,"(15.2, 17.9)",14.8,0,0,0.0,No,31.3685454,-102.0430225,153.0,NCT06580964,Texas Tech University,Lubbock,Lubbock
48487,Wilbarger,12522,16.5,"(14.4, 18.8)",14.2,0,0,0.0,No,34.0805472,-99.240912,116.3,NCT06112418,Hendrick Health,Abilene,Taylor
48105,Crockett,2858,16.5,"(14.3, 18.6)",13.4,0,0,0.0,No,30.7227356,-101.4117391,143.2,NCT07564414,Sante Clinical Research,Kerrville,Kerr
48371,Pecos,14623,16.5,"(14.3, 18.6)",16.0,0,0,0.0,No,30.7809067,-102.7234063,199.8,NCT06580964,Texas Tech University,Lubbock,Lubbock
48353,Nolan,14306,16.5,"(14.3, 18.9)",14.0,0,0,0.0,No,32.3034029,-100.4060537,40.5,NCT06112418,Hendrick Health,Abilene,Taylor
