stateabbr,countyname,countyfips,totalpopulation,diabetes_crudeprev,diabetes_crude95ci,diabetes_adjprev,diabetes_adj95ci
TX,Palo Pinto,48363,29747,14.4,"(12.3, 16.4)",11.6,"( 9.9, 13.3)"
TX,Floyd,48153,5090,17.0,"(15.6, 18.5)",14.4,"(13.1, 15.6)"
TX,Shelby,48419,24179,16.4,"(14.3, 18.6)",13.7,"(12.0, 15.7)"
TX,Erath,48143,44195,10.8,"( 9.3, 12.4)",11.0,"( 9.5, 12.7)"
TX,Chambers,48071,53876,10.8,"( 9.3, 12.5)",10.7,"( 9.1, 12.3)"
TX,Borden,48033,572,13.2,"(11.9, 14.8)",9.3,"( 8.4, 10.4)"
TX,Frio,48163,17987,15.3,"(13.4, 17.3)",16.5,"(14.4, 18.7)"
TX,Aransas,48007,25374,15.9,"(13.8, 18.5)",11.4,"( 9.8, 13.2)"
TX,Victoria,48469,91664,14.5,"(12.6, 16.5)",12.9,"(11.2, 14.7)"
TX,Haskell,48207,5385,14.9,"(12.8, 17.0)",12.3,"(10.6, 14.1)"
TX,Liberty,48291,108272,13.9,"(12.2, 15.9)",13.8,"(12.0, 15.7)"
TX,Coke,48081,3352,15.9,"(13.7, 18.3)",11.8,"(10.1, 13.5)"
TX,Lamar,48277,51127,14.3,"(12.3, 16.6)",11.9,"(10.2, 13.8)"
TX,Garza,48169,4517,14.9,"(13.6, 16.1)",14.5,"(13.3, 15.7)"
TX,Briscoe,48045,1445,17.5,"(15.3, 20.2)",13.3,"(11.6, 15.4)"
TX,Sutton,48435,3221,17.4,"(15.1, 19.7)",14.0,"(12.1, 15.9)"
TX,Williamson,48491,697191,9.8,"( 8.5, 11.3)",9.5,"( 8.2, 10.9)"
TX,Kaufman,48257,185690,11.2,"( 9.7, 12.9)",11.5,"( 9.9, 13.2)"
TX,Crockett,48105,2858,16.5,"(14.3, 18.6)",13.4,"(11.6, 15.3)"
TX,Maverick,48323,57762,17.8,"(15.5, 20.2)",18.1,"(15.7, 20.6)"
TX,Pecos,48371,14623,16.5,"(14.3, 18.6)",16.0,"(13.9, 18.0)"
TX,Montague,48337,21598,13.4,"(11.5, 15.3)",10.5,"( 9.0, 11.9)"
TX,Moore,48341,21190,14.9,"(13.8, 16.2)",14.7,"(13.5, 15.9)"
TX,San Augustine,48405,7833,20.9,"(18.1, 23.7)",15.2,"(13.1, 17.3)"
TX,Henderson,48213,86158,14.5,"(12.6, 16.7)",11.3,"( 9.8, 13.2)"
TX,Rusk,48401,53079,13.9,"(12.0, 15.9)",12.2,"(10.5, 13.9)"
TX,Bee,48025,30850,13.9,"(12.1, 15.8)",14.6,"(12.7, 16.6)"
TX,Howard,48227,30554,13.7,"(11.9, 15.7)",13.1,"(11.3, 15.0)"
TX,Cherokee,48073,52217,14.7,"(12.6, 16.8)",12.6,"(10.8, 14.4)"
TX,Gonzales,48177,19930,16.0,"(14.1, 18.3)",13.7,"(11.9, 15.7)"
TX,Burnet,48053,53991,13.5,"(11.5, 15.7)",10.3,"( 8.8, 12.0)"
TX,La Salle,48283,6537,15.5,"(13.4, 17.4)",16.6,"(14.3, 18.7)"
TX,Jim Wells,48249,38662,18.0,"(15.5, 20.5)",16.2,"(13.9, 18.5)"
TX,Baylor,48023,3463,14.9,"(12.6, 17.2)",11.6,"(10.0, 13.6)"
TX,Fannin,48147,37571,13.2,"(11.3, 15.3)",11.4,"( 9.7, 13.2)"
TX,Marion,48315,9571,18.1,"(15.9, 20.5)",12.8,"(11.1, 14.7)"
TX,Dallas,48113,2606358,12.5,"(10.9, 14.0)",12.5,"(11.0, 14.1)"
TX,Coleman,48083,7842,15.4,"(13.3, 17.6)",11.3,"( 9.7, 12.8)"
TX,Val Verde,48465,47720,15.6,"(13.5, 17.8)",15.7,"(13.6, 17.9)"
TX,Wichita,48485,130180,12.1,"(10.4, 14.0)",11.6,"(10.0, 13.4)"
TX,Nacogdoches,48347,65375,13.2,"(11.3, 15.1)",13.0,"(11.1, 14.9)"
TX,Hockley,48219,21460,14.1,"(12.2, 16.2)",12.9,"(11.1, 14.8)"
TX,Tom Green,48451,119057,12.9,"(11.2, 14.8)",11.9,"(10.2, 13.6)"
TX,Ward,48475,10966,14.4,"(12.5, 16.4)",13.5,"(11.7, 15.5)"
TX,Ochiltree,48357,9704,14.1,"(12.9, 15.4)",13.5,"(12.3, 14.7)"
TX,Brewster,48043,9513,12.8,"(11.0, 14.9)",10.5,"( 9.0, 12.1)"
TX,Titus,48449,31357,15.6,"(13.5, 17.7)",14.0,"(12.2, 15.9)"
TX,Jasper,48241,32694,16.3,"(14.1, 18.7)",12.9,"(11.1, 14.8)"
TX,Grimes,48185,32384,14.4,"(12.6, 16.5)",12.3,"(10.7, 14.0)"
TX,Knox,48275,3302,15.6,"(14.2, 17.1)",12.5,"(11.4, 13.7)"
TX,Archer,48009,9029,12.7,"(11.5, 14.0)",9.9,"( 8.9, 10.8)"
TX,San Saba,48411,5845,14.2,"(12.9, 15.6)",12.0,"(11.0, 13.1)"
TX,McCulloch,48307,7452,15.5,"(13.5, 17.8)",11.9,"(10.2, 13.7)"
TX,Camp,48063,13000,16.1,"(14.1, 18.0)",13.7,"(12.0, 15.3)"
TX,Denton,48121,1007703,9.9,"( 8.5, 11.3)",9.6,"( 8.3, 11.1)"
TX,Red River,48387,11678,16.9,"(14.7, 19.3)",12.5,"(10.8, 14.3)"
TX,Foard,48155,1079,18.2,"(15.8, 20.8)",13.6,"(11.8, 15.5)"
TX,Comal,48091,193928,11.2,"( 9.7, 13.0)",9.2,"( 8.0, 10.7)"
TX,Sherman,48421,2678,12.9,"(11.7, 14.0)",11.2,"(10.2, 12.3)"
TX,Kerr,48265,53915,14.7,"(12.5, 17.0)",10.8,"( 9.2, 12.4)"
TX,San Jacinto,48407,28936,16.4,"(14.3, 18.6)",12.7,"(11.0, 14.5)"
TX,Anderson,48001,57736,13.9,"(11.9, 15.8)",13.0,"(11.2, 14.9)"
TX,Llano,48299,22875,15.7,"(13.4, 18.1)",10.1,"( 8.6, 11.6)"
TX,Collingsworth,48087,2563,15.5,"(14.0, 17.2)",12.7,"(11.5, 14.1)"
