county_fips,county_name,latitude,longitude
48283,La Salle County,+28.3449024,-099.0996759
48277,Lamar County,+33.6671749,-095.5711481
48279,Lamb County,+34.0684889,-102.3517082
48281,Lampasas County,+31.1962127,-098.2414097
48285,Lavaca County,+29.3842759,-096.9300707
48287,Lee County,+30.3106142,-096.9656155
48289,Leon County,+31.2964125,-095.9958804
48291,Liberty County,+30.1514640,-094.8120084
48293,Limestone County,+31.5453356,-096.5803599
48295,Lipscomb County,+36.2776155,-100.2731154
48297,Live Oak County,+28.3511164,-098.1246989
48299,Llano County,+30.7056914,-098.6840712
48301,Loving County,+31.8491918,-103.5797921
48303,Lubbock County,+33.6101192,-101.8205448
48305,Lynn County,+33.1767420,-101.8161278
48313,Madison County,+30.9655830,-095.9284766
48315,Marion County,+32.7980833,-094.3571974
48317,Martin County,+32.3059480,-101.9512207
48319,Mason County,+30.7176410,-099.2261174
48321,Matagorda County,+28.7854986,-096.0042314
48323,Maverick County,+28.7421437,-100.3142391
48307,McCulloch County,+31.1987276,-099.3474773
48309,McLennan County,+31.5523327,-097.2019149
48311,McMullen County,+28.3524884,-098.5678414
48325,Medina County,+29.3555880,-099.1101257
48327,Menard County,+30.8897821,-099.8205840
48329,Midland County,+31.8690789,-102.0316093
48331,Milam County,+30.7862144,-096.9769376
48333,Mills County,+31.4951633,-098.5954032
48335,Mitchell County,+32.3061262,-100.9212322
48337,Montague County,+33.6754778,-097.7246947
48339,Montgomery County,+30.3001869,-095.5028210
48341,Moore County,+35.8375941,-101.8929226
48343,Morris County,+33.1133350,-094.7326275
48345,Motley County,+34.0739682,-100.7798314
48347,Nacogdoches County,+31.6158766,-094.6156265
48349,Navarro County,+32.0469348,-096.4726004
48351,Newton County,+30.7856606,-093.7449422
48353,Nolan County,+32.3034029,-100.4060537
48355,Nueces County,+27.7351971,-097.5162239
48357,Ochiltree County,+36.2783114,-100.8156536
48359,Oldham County,+35.4051056,-102.6028784
48361,Orange County,+30.1212983,-093.8938494
48363,Palo Pinto County,+32.7530556,-098.3130539
48365,Panola County,+32.1623206,-094.3056865
48367,Parker County,+32.7775551,-097.8050978
48369,Parmer County,+34.5300207,-102.7845398
48371,Pecos County,+30.7809067,-102.7234063
48373,Polk County,+30.7925352,-094.8299647
48375,Potter County,+35.4011849,-101.8940068
48377,Presidio County,+29.9990539,-104.2396893
48379,Rains County,+32.8703254,-095.7933377
48381,Randall County,+34.9657700,-101.8969477
48383,Reagan County,+31.3659930,-101.5230121
48385,Real County,+29.8316387,-099.8221471
48387,Red River County,+33.6205414,-095.0502272
48389,Reeves County,+31.3227211,-103.6927327
48391,Refugio County,+28.3215627,-097.1596971
48393,Roberts County,+35.8383986,-100.8134442
48395,Robertson County,+31.0268740,-096.5129529
48397,Rockwall County,+32.8978391,-096.4078854
48399,Runnels County,+31.8309608,-099.9762318
48401,Rusk County,+32.1074748,-094.7618423
48403,Sabine County,+31.3431016,-093.8517727
48405,San Augustine County,+31.3940380,-094.1681708
48407,San Jacinto County,+30.5794184,-095.1667871
48409,San Patricio County,+28.0088796,-097.5181894
48411,San Saba County,+31.1550874,-098.8173970
48413,Schleicher County,+30.8975609,-100.5385533
48415,Scurry County,+32.7462279,-100.9164059
48417,Shackelford County,+32.7358835,-099.3540670
48419,Shelby County,+31.7924137,-094.1448795
48421,Sherman County,+36.2775624,-101.8934663
48423,Smith County,+32.3749424,-095.2690261
48425,Somervell County,+32.2222128,-097.7745934
48427,Starr County,+26.5621294,-098.7384538
48429,Stephens County,+32.7357774,-098.8361728
48431,Sterling County,+31.8277007,-101.0500337
48433,Stonewall County,+33.1790412,-100.2533038
48435,Sutton County,+30.4983743,-100.5381929
48437,Swisher County,+34.5302950,-101.7350259
48439,Tarrant County,+32.7718353,-097.2911316
48441,Taylor County,+32.3013880,-099.8901231
48443,Terrell County,+30.2246104,-102.0766568
48445,Terry County,+33.1737316,-102.3351975
48447,Throckmorton County,+33.1773997,-099.2123671
48449,Titus County,+33.2165246,-094.9656567
48451,Tom Green County,+31.4042638,-100.4618433
48453,Travis County,+30.3343599,-097.7818171
48455,Trinity County,+31.0887494,-095.1357275
48457,Tyler County,+30.7710932,-094.3764471
48459,Upshur County,+32.7362324,-094.9415316
48461,Upton County,+31.3685454,-102.0430225
48463,Uvalde County,+29.3572603,-099.7622112
48465,Val Verde County,+29.8926676,-101.1511688
48467,Van Zandt County,+32.5636239,-095.8363998
48469,Victoria County,+28.7962401,-096.9715192
48471,Walker County,+30.7389650,-095.5722749
48473,Waller County,+30.0106049,-095.9876222
48475,Ward County,+31.5095632,-103.1023092
48477,Washington County,+30.2145751,-096.4035004
48479,Webb County,+27.7608783,-099.3308239
48481,Wharton County,+29.2777605,-096.2222023
48483,Wheeler County,+35.4011867,-100.2696463
48485,Wichita County,+33.9879956,-098.7035022
48487,Wilbarger County,+34.0805472,-099.2409120
48489,Willacy County,+26.4770723,-097.5916647
48491,Williamson County,+30.6475670,-097.6002229
48493,Wilson County,+29.1739593,-098.0866879
48495,Winkler County,+31.8499901,-103.0482297
48497,Wise County,+33.2158153,-097.6544649
48499,Wood County,+32.7863610,-095.3819963
48501,Yoakum County,+33.1728767,-102.8277995
48503,Young County,+33.1766098,-098.6877651
48505,Zapata County,+27.0005706,-099.1685002
48507,Zavala County,+28.8662091,-099.7605934
